id,dialect
1175358310087892992,IQ
1175416117793349632,IQ
1175450108898565888,IQ
1175471073770573824,IQ
1175496913145217024,IQ
1175668034146643968,IQ
1175670153884983296,IQ
1175671762580856832,IQ
1175715664398561280,IQ
1176019816072777728,IQ
1176068581487992832,IQ
1176068868747538432,IQ
1176198561941413888,IQ
1176199622412427264,IQ
1176460355939328000,IQ
1176572872577474560,IQ
1176608948671209472,IQ
1176877065473274112,IQ
1177172360455237632,IQ
1177213425858109440,IQ
1177527665886191616,IQ
1177573850659414016,IQ
1177621101331001088,IQ
1177656196960047104,IQ
1177694964026880000,IQ
1178232178347524096,IQ
1154854668780154880,IQ
1154856299420692480,IQ
1155420983433617408,IQ
1155473383594831872,IQ
1155559945942835200,IQ
1155853950958100480,IQ
1156082732197433088,IQ
1156106460419563520,IQ
1156107577312317440,IQ
1156129807136149504,IQ
1156133970536488960,IQ
1157061856126754816,IQ
1157235948192710912,IQ
1157642091327119360,IQ
1159153864890880000,IQ
1159779766976860160,IQ
1159848480623464448,IQ
1159873484710916096,IQ
1159888762450644992,IQ
1159918464754225152,IQ
1160071685950849024,IQ
1160115076403257088,IQ
1160197091718770688,IQ
1160224130274406400,IQ
1160289650126311424,IQ
1160290300868382720,IQ
1160298836314775552,IQ
1160309756994752512,IQ
1160421284737617920,IQ
1160422458777907200,IQ
1160482368353968128,IQ
1160504147059326976,IQ
1160853077014077440,IQ
1160864334937042944,IQ
1160954047769300992,IQ
1161046172888444928,IQ
1161257999111004160,IQ
1161300388374634496,IQ
1161300951640264704,IQ
1161314878377906176,IQ
1161318450620436480,IQ
1161341660015538176,IQ
1161400703866277888,IQ
1161688000293720064,IQ
1162052504378576896,IQ
1162111319774040064,IQ
1162111943500587008,IQ
1162701800971165696,IQ
1162708381767016448,IQ
1164506262983315712,IQ
1164566091076657152,IQ
1164923540933611520,IQ
1164931278069739520,IQ
1165171702126514176,IQ
1165966816776216576,IQ
1166014307336957952,IQ
1166268487536389888,IQ
1166305797300772864,IQ
1166652209838383104,IQ
1166658909312094208,IQ
1166956051356356608,IQ
1167008948597264384,IQ
1167018996350312448,IQ
1167156077525393408,IQ
1167472120630251520,IQ
1167723349788618752,IQ
1167727714780028928,IQ
1168212960596176896,IQ
1168482884820393984,IQ
1168486929270300672,IQ
1168582662715510784,IQ
1168585361787895808,IQ
1168585980309311488,IQ
1168595763930324992,IQ
1168860222670233600,IQ
1172422887094902784,IQ
1172589303245037568,IQ
1173341162637336576,IQ
1173490828225986560,IQ
1173494697152667648,IQ
1173624290660560896,IQ
1173690889182556160,IQ
1173697011843063808,IQ
1173871533632184320,IQ
1173888504352391168,IQ
1174013183230730240,IQ
1174014348173434880,IQ
1174030763022532608,IQ
1174607642406400000,IQ
1174613453216108288,IQ
1174615760318160896,IQ
1174619626875080704,IQ
1174666240394190848,IQ
1174718790799638528,IQ
1174726079770234880,IQ
1174727377953468416,IQ
1174948618324730112,IQ
